doc_id,permit_num,code,tier,score,name,description,reasons
6200500,23-09548-RNVS,RNVS,strict,123,945 Magazine_HDLC Approved_6.22.23 (RCC stamped).pdf,Renovation to La Pavilion to modify the existing curtainwall entry and add an entry plaza with canopy.,strict primary-plan filename | relevant permit scope | renovation permit
6289140,23-12701-RNVS,RNVS,strict,123,619 Toulouse - VCC and RCC Stamped.pdf,(Toulouse Street Balcony Repair): Removal and Installation of (20) New Deck Boards; Installation of (16 ft) of Metal Framing; Replacement of (10’) of (2x4) Runners at Front of Decking; Repairment of Damaged Fascia at Front of Street Side Decking and Right Side of Decking. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
6273625,23-13117-RNVS,RNVS,strict,123,141 Chartres - HDLC and RCC Stamped.pdf,"Exterior repairs to an existing historic 3-story masonry building including installation of structural tie backs, lintel repair, partial parapet replacement, brick and stucco repair. All work to be done as per plans.",strict primary-plan filename | relevant permit scope | renovation permit
6284105,23-16794-RNVS,RNVS,strict,123,300 N Broad - RCC Stamped.pdf,"THE PROJECT INCLUDES BUT IS NOT LIMITED TO THE REPLACEMENT OF A CMU WALL AT THE LOADING DOCK AS INDICATED WITHIN THESE DOCUMENTS. THERE WILL BE NO CHANGE IN OCCUPANCY, USE, TRAVEL DISTANCE, OR EXITS. ALL WORK TO BE DONE AS PER PLANS.",strict primary-plan filename | relevant permit scope | renovation permit
7466817,23-17882-RNVS,RNVS,strict,123,M1.00-PIPING_073124 (RCC stamped).pdf,"The Phase III work includes renovations to the interior spaces of the existing historic structure to accommodate a modern place of worship. Included are modifications to interior partitions, vertical access, security and audio-visual-lighting systems, complete electrical distribution, complete mechanical and plumbing systems, wall, floor and ceiling finishes. *FINAL INSPECTION* BBSA waiver granted December 19, 2024: flood panels to be installed at doorwells; M&E to be raised; flood damage-resistant materials to be used.",strict primary-plan filename | relevant permit scope | renovation permit
7722869,23-23828-RNVS,RNVS,strict,123,2002 Esplanade Ave - RCC Stamped.pdf,INTERIOR RENOVATION OF RESIDENTIAL UNIT ON 2ND FLOOR OF A TWO STORY MIXED USE BUILDING. ALL WORK TO BE DONE AS PER PLANS.,strict primary-plan filename | relevant permit scope | renovation permit
6557216,23-24593-RNVS,RNVS,strict,123,515 Toulouse - RCC Stamped.pdf,Filing for interior work at 515/519 Toulouse Street. Repoint bricks and strap to reinforce wall (work already done and structurally sound per engineers report attached). Also we are filing for shoring work needed (please see engineers report and plans). All work to be done as per engineer's report and drawings.,strict primary-plan filename | relevant permit scope | renovation permit
6625879,23-26982-RNVS,RNVS,strict,123,600 Decatur - 5th floor - VCC and RCC stamped.pdf,Replacement of windows and terrace doors on 5th floor of existing 5 floor building. Replacement of inner-wall insulation and gyp board sheathing on interior side of exterior walls on 5th floor of existing 5 floor building. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
7404499,23-32396-RNVS,RNVS,strict,123,1120 Freret St - RCC Stamped.pdf,"The UnCommon Campus project is the renovation of an existing 2 story 3,040 sf building, attached workshop and adjacent outdoor space, at 1120 Freret St. New Orleans, LA. The existing facility was previously occupied and used by OPA Signs & Graphics for sign fabrication, sales, and administration. The newly renovated building will accommodate UnCommon Construction’s programmatic needs, which include spaces for construction, administration, and education. Site improvements will be made to include new permeable parking and landscaping in place of the existing concrete paved lot.",strict primary-plan filename | relevant permit scope | renovation permit
6624527,23-33438-RNVS,RNVS,strict,123,910 Royal - VCC and RCC stamped.pdf,Repair two structural header per engineers drawing. Minor tuck pointing. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
7763053,24-00131-RNVS,RNVS,strict,123,730 St Charles - HDLC and RCC stamped.pdf,Installation of Rear Canopy Awning and Rooftop porch canopy addition. All work to be done as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
6847997,24-00948-RNVS,RNVS,strict,123,914 Dante - RCC Stamped.pdf,"Renovation of historic existing 6-unit multi-family dwelling. Level II alteration within existing square footage with no increase of intensity by maintaining existing unit count and bedroom count. Electrical and HVAC to be brought up to code and some plumbing to be replaced per current riser, no change to utility meters.",strict primary-plan filename | relevant permit scope | renovation permit
6620800,24-02823-RNVS,RNVS,strict,123,04 843 CAMP_MECH PERMIT SET 012624.pdf,"CONVERT 3-STORY STRUCTURE TO A 57 ROOM BOUTIQUE HOTEL INCLUDING THE ADDITION OF 2 STORIES. Final structure will be 27,560sf and 5 stories. All work to be done as per plans. Pool is under 24-03271-POOL and was not reviewed under this permit.",strict primary-plan filename | relevant permit scope | renovation permit
7747451,24-03908-RNVS,RNVS,strict,123,630 Newton - HDLC and RCC Stamped.pdf,"Renovation + addition to a vacant building for it to be used as offices. BBSA waiver, January 18, 2024 meeting: requires floodproofing measures of raising electric & mechanical above +3.5 NAVD plus use of flood-damage resistant materials below +3.5 NAVD",strict primary-plan filename | relevant permit scope | renovation permit
8633600,24-03994-RNVS,RNVS,strict,123,HDLC Approved_241111_2318B_1808 Prytania_PermitSet REDUCED SP RCC STAMPED (1).pdf,Structural renovation of a multifamily structure. Elimination of a non-original addition and addition of new porch as per plans. ***Certificate of Occupancy will be withheld pending verification the resubdivison has been recorded. PARTIAL PHASED RELEASE ISSUED 8-6-2025 FOR THE BALCONIES AND ENVELOPE REPAIRS C of O to be withheld until resubdivsion is finalized,strict primary-plan filename | relevant permit scope | renovation permit
7356737,24-04078-RNVS,RNVS,strict,123,823 Decatur - VCC and RCC Stamped.pdf,PERMIT REQUEST TO CORRECT EXTERIOR VIOLATIONS CITED BY THE VCC AND TO REMOVE INTERIOR MASONRY WALL AND REPLACE WITH STEEL COLUMNS AND BEAMS INCLUDING NEW FOUNDATION. ALL WORK TO BE DONE AS PER PLANS. NO USE OR OCCUPANCY UNDER THIS PERMIT.,strict primary-plan filename | relevant permit scope | renovation permit
6656157,24-04531-RNVN,RNVN,strict,123,TJ Maxx - New Orleans.LA - Permit Set.pdf,Commercial retail remodel interior only,strict primary-plan filename | relevant permit scope | renovation permit
